date,id,price,mktcap,liquidity,sector
2001-06-28,1,662.83349285,1353917120.0,0.0,
2001-06-29,1,656.270785,1340512000.0,15000.0,
2001-07-02,1,656.270785,1340512000.0,500.0,
2001-07-06,1,665.45857599,1359279168.0,10140.0,
2001-07-10,1,656.270785,1340512000.0,2000.0,
2001-07-16,1,656.270785,1340512000.0,6500.0,
2001-07-18,1,656.270785,1340512000.0,1500.0,
2001-07-19,1,656.270785,1340512000.0,5000.0,
2001-07-24,1,668.08365913,1364641216.0,53445.0,
2001-07-27,1,662.83349285,1353917120.0,51510.0,
2001-07-30,1,664.14603442,1356598144.0,9108.0,
2001-07-31,1,658.8958681400001,1345874048.0,1004.0,
2001-08-06,1,669.3962007,1367322240.0,0.0,
2001-08-07,1,669.3962007,1367322240.0,10200.0,
2001-08-09,1,669.3962007,1367322240.0,2550.0,
2001-08-21,1,658.8958681400001,1345874048.0,2008.0,
2001-08-28,1,669.3962007,1367322240.0,4590.0,
2001-08-30,1,669.3962007,1367322240.0,3060.0,
2001-08-31,1,672.02128384,1372684288.0,3072.0,
2001-09-04,1,658.8958681400001,1345874048.0,7530.0,
2001-09-10,1,658.8958681400001,1345874048.0,17068.0,
2001-09-11,1,654.95824343,1337830976.0,32934.0,
2001-09-12,1,654.95824343,1337830976.0,2495.0,
2001-09-13,1,649.70807715,1327106880.0,19800.0,
2001-09-20,1,649.70807715,1327106880.0,4950.0,
2001-09-21,1,630.0199536,1286891520.0,31200.0,
2001-09-24,1,616.8945379,1260081280.0,112800.0,
2001-09-25,1,603.7691222,1233271040.0,124200.0,
2001-09-26,1,603.7691222,1233271040.0,4600.0,
2001-09-28,1,590.6437065,1206460800.0,184500.0,
2001-10-01,1,590.6437065,1206460800.0,53550.0,
2001-10-02,1,630.0199536,1286891520.0,2400.0,
2001-10-05,1,630.0199536,1286891520.0,960.0,
2001-10-09,1,603.7691222,1233271040.0,12880.0,
2001-10-10,1,630.0199536,1286891520.0,82560.0,
2001-10-12,1,630.0199536,1286891520.0,11520.0,
2001-10-18,1,630.0199536,1286891520.0,9600.0,
2001-10-22,1,591.2999772850001,1207801312.0,29282.5,
2001-10-24,1,623.45724575,1273486400.0,11400.0,
2001-10-25,1,651.02061872,1329787904.0,59024.0,
2001-10-26,1,636.58266145,1300296640.0,15035.0,
2001-10-30,1,616.8945379,1260081280.0,16450.0,
2001-10-31,1,656.270785,1340512000.0,5000.0,
2001-11-07,1,636.58266145,1300296640.0,2425.0,
2001-11-12,1,656.270785,1340512000.0,12500.0,
2001-11-14,1,649.70807715,1327106880.0,9900.0,
2001-11-16,1,656.270785,1340512000.0,45000.0,
2001-11-20,1,656.270785,1340512000.0,5000.0,
2001-11-21,1,649.70807715,1327106880.0,3960.0,
2001-11-26,1,649.70807715,1327106880.0,16830.0,
2001-11-30,1,669.3962007,1367322240.0,510.0,
2001-12-03,1,656.270785,1340512000.0,2000.0,
2001-12-06,1,656.270785,1340512000.0,2500.0,
2001-12-10,1,669.3962007,1367322240.0,19890.0,
2001-12-18,1,656.270785,1340512000.0,20500.0,
2001-12-20,1,662.83349285,1353917120.0,13635.0,
2001-12-21,1,665.45857599,1359279168.0,0.0,
2001-12-27,1,682.5216164,1394132480.0,26000.0,
2001-12-28,1,672.02128384,1372684288.0,5120.0,
2002-01-03,1,672.02128384,1372684288.0,15360.0,
2002-01-07,1,674.64636698,1378046336.0,0.0,
2002-01-09,1,674.64636698,1378046336.0,1028.0,
2002-01-11,1,682.5216164,1394132480.0,1040.0,
2002-01-17,1,675.95890855,1380727360.0,5150.0,
2002-01-22,1,674.64636698,1378046336.0,5140.0,
2002-01-23,1,675.95890855,1380727360.0,0.0,
2002-01-24,1,682.5216164,1394132480.0,1040.0,
2002-01-25,1,674.64636698,1378046336.0,9766.0,
2002-01-29,1,675.95890855,1380727360.0,2575.0,
2002-01-31,1,682.5216164,1394132480.0,5200.0,
2002-02-04,1,674.64636698,1378046336.0,514.0,
2002-02-05,1,682.5216164,1394132480.0,2600.0,
2002-02-11,1,675.95890855,1380727360.0,5150.0,
2002-02-12,1,675.95890855,1380727360.0,10300.0,
2002-02-13,1,682.5216164,1394132480.0,15600.0,
2002-02-14,1,672.02128384,1372684288.0,46080.0,
